,roles,companies,locations,experience,skills
0,Lead Data Scientist,TransOrg Solutions Services (P) Ltd.,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)
(WFH during Covid)",4-9 Yrs,"R
Python
SQL
Data Science
Data Manipulation
Artificial Intelligence
Linear Regression
Machine Learning"
1,HCL || ERS Research- Software Engineer,HCL,"Chennai, Bangalore/Bengaluru, Delhi / NCR",0-1 Yrs,"deep learning
c++
c
probability
computer vision
software engineering
machine learning
artificial intelligence"
2,Trainee Role: Field Agent- Job Hai (Venture of Naukri.com),Info Edge India,Delhi / NCR,0-2 Yrs,"B2C Sales
B2B Sales
field sales
marketing
back office
calling
business development
machine learning"
3,Senior Data Scientist,Fractal Analytics,"Gurgaon/Gurugram, Bangalore/Bengaluru, Mumbai (All Areas)",5-10 Yrs,"IT Skills
Python
Data Science
Machine Learning
Artificial Intelligence
R
Statistical Modeling
Deep Learning"
4,5.1 To 7 years of exp. For Machine Learning and Python exp,CAREER VISION SOLUTIONS,Hyderabad/Secunderabad,5-7 Yrs,"Machine Learning
NLP
Python
Natural Language
IT Skills"
5,Advisor - Data Engineering,Dell,Bangalore/Bengaluru,5-8 Yrs,"MS SQL
Data Engineering
Hadoop
ETL
Python
MSSQL
IT Skills
Big Data"
6,Data Scientist Opportunity with Flipkart Data science group,Flipkart,Bangalore/Bengaluru,5-9 Yrs,"python
predictive modeling
data scientist
machine learning"
7,Analytics India Magazine - Data Scientist - NLP/R/Python,AIM recruits,"Mumbai, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",5-7 Yrs,"R
NLP
Python
SSIS
ETL
AI Machine Learning
Azure
SQL"
8,Data Scientist: Advanced Analytics,IBM,Bangalore/Bengaluru,2-5 Yrs,"IT Skills
Data Science
Machine Learning
Training
advanced analytics
Interpersonal skills
Circuit designing
Consulting"
9,Opening with Data Science,PwC,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",2-5 Yrs,"Data Science
Big Data
Python
Hadoop
R
Hive
Pyspark
Spark"
10,Big Data Consultant,Amazon,"Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)
(WFH during Covid)",9-14 Yrs,"Glue
Snowflake / Redshift
EMR
IT Skills
Java
Python
Machine Learning
Cloud"
11,Data Scientist - Python,Jubna,Noida,3-5 Yrs,"advanced analytics
data science
Python
JIRA
BigQuery
machine learning frameworks
Hadoop
Redshift"
12,Data Analyst - Hadoop/Power BI,Aviation Indeed,Noida,3-5 Yrs,"Power BI
Hadoop
Predictive Modelling
Data Mining
Data Analyst
Algorithm
Machine Learning
Data Structure"
13,Job Opening For Data Scientist_ Wunderman Thompson,Wunderman Thompson Commerce Private Limited,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)
(WFH during Covid)",0-2 Yrs,"Data Science
Algorithms
Data Structures
Machine Learning
Deep Learning"
14,Data Science Intern,DataTrained,"Noida, Bengaluru",,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,Sr . Data Engineer,Visa,Bangalore/Bengaluru,5-8 Yrs,"IT Skills
Python
Testing
Machine Learning
Big Data
Tableau
Power BI
Unix"
21,Senior Data Scientist/Data Scientist,Tredence Analytics Solutions Private Limited,"Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",2-7 Yrs,"deep learning
data science
machine learning
NumPy
data analysis
Pandas
Spark
Natural Language Processing"
22,Data Engineer - VCA Data Engineering,Visa,Bangalore/Bengaluru,0-3 Yrs,"IT Skills
Python
Data Science
Big Data
Hive
Hadoop
Data Engineer
Data Warehousing"
23,NLP Developer-Noida/Gurgaon/Pune/Bangalore,EXL,"Noida, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",0-5 Yrs,"NLP
Speech Analytics
Artificial Intelligence
Natural Language Processing
Neural Networks
Text Mining
Computer Vision
Machine Learning"
24,Artificial Intelligence Engineer,Allegis Services India Pvt. Ltd.,"Noida, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Trivandrum/Thiruvananthapuram, Mumbai (All Areas)
(WFH during Covid)",6-11 Yrs,"IT Skills
Python
Machine Learning
Project Management
BPO
project management
R
NLP"
25,Artificial Intelligence Engineer,Allegis Services India Pvt. Ltd.,"Noida, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Trivandrum/Thiruvananthapuram, Mumbai (All Areas)
(WFH during Covid)",6-11 Yrs,"R
NLP
Neural Networks
AI
Machine Learning
artificial intelligence
Deep Learning
Python"
26,Data Scientist,Tiger Analytics India LLP,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR
(WFH during Covid)",4-9 Yrs,"Data Science
R
Artificial Intelligence
Risk Analytics
Advanced Analytics
Statistical Modeling
Machine Learning
Python"
27,E2E Test Data Management Architect,Dell,Bangalore/Bengaluru,8-13 Yrs,"E2E testing
Test Automation
TDM process
IT Skills
Software Development
Testing
Application Programming
Testing Tools"
28,Data Engineer,Visa,Bangalore/Bengaluru,1-5 Yrs,"ETL
Big Data Hadoop
Python
Spark
HIVE
agile
IT Skills
Big Data"
29,Data Engineer,Techginia Global Private Limited,Gurgaon/Gurugram,3-5 Yrs,"spark
hadoop
SQL
IT Skills
Python
Machine Learning
Cloud
Project Management"
30,Lead Data Scientist,Societe Generale,Bangalore/Bengaluru,6-10 Yrs,"REST API
Machine Learning
Python
Logistic Regression
Data Analysis
Random Forests
statistical modeling
KNN"
31,Principal Data Scientist,Societe Generale,Bangalore/Bengaluru,8-13 Yrs,"deep learning
NLP
Machine learning
Data Interpretation
SVM
NumPy
Data Science
R"
32,Technical Architect/ Data Scientist,DMI Innovations Pvt. Ltd,"Noida, Pune, Chennai, Bangalore/Bengaluru
(WFH during Covid)",8-13 Yrs,"IT Skills
Python
Software Development
Testing
Data Science
Machine Learning
Artificial Intelligence
tensorflow"
33,Technical SME - Data Science and Analytics,Fractal Analytics,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru",3-6 Yrs,"Training
Cloud computing
deep learning
customer analytics
data science
GCP
Machine learning
Data analytics"
34,Lead Data Scientist,NAVIKENZ INDIA PRIVATE LIMITED,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR
(WFH during Covid)",5-10 Yrs,"machine learning
nlp
data science
IT Skills
Java
Python
Cloud
Javascript"
35,Data Scientist (Consumer Industries),Digilytics AI,Gurgaon/Gurugram,4-7 Yrs,"data science
pytorch
machine learning
IT Skills
Python
deep learning
tensorflow
r"
36,HCL || ERS SEMI-Software Engineer,HCL,"Chennai, Bangalore/Bengaluru, Delhi / NCR",0-1 Yrs,"Java
C++
Docker
Database Management System
GCP
CI
Data Structures
AI"
