,roles,companies,locations,experience,skills
0,Staff Engineer (Data science Microsoft Bot Framework),Nagarro,Remote,6-9 Yrs,"python
data science
Microsoft Bot Framework
nlp
data analytics
data sci
time series
machine learning"
1,Data Science - Machine Learning Engineer,BCG Attorney Search,"Ahmedabad(Bodakdev)
(WFH during Covid)",5-8 Yrs,"algorithms
Business Intelligence
Visualization
Statistician
predictive analytics
Big Data
Data Mining
machine learning"
2,Machine Learning Data Science Practitioner,Accenture,Noida,4-6 Yrs,"Python
GCP
analytical
Azure
verbal
ETL
written
KNIME"
3,Machine Learning Data Science Practitioner,Accenture,Bangalore/Bengaluru,4-6 Yrs,"Deep Learning
Machine Learning
ETL
analytical
Data Science
written
Big Data Processing
analytics"
4,Machine Learning Data Science Practitioner,Accenture,Mumbai,4-6 Yrs,"IT Skills
Python
Data Science
Machine Learning
Big Data
AWS
Azure
Operations research"
5,Machine Learning Data Science Practitioner,Accenture,Pune,4-6 Yrs,"Python
GCP
analytical
Azure
verbal
ETL
written
KNIME"
6,Machine Learning Data Science Practitioner,Accenture,Hyderabad/Secunderabad,4-6 Yrs,"Operations research
data science
GCP
Analytical
Consulting
Machine learning
Data processing
Subject Matter Expert"
7,Machine Learning Data Science Practitioner,Accenture,Pune,6-8 Yrs,"Data Science
ETL
verbal
Big Data Processing
Python
Machine Learning
written
analytical"
8,Machine Learning Data Science Practitioner,Accenture,Mumbai,4-6 Yrs,"Data Science
ETL
verbal
Big Data Processing
Python
Machine Learning
written
analytical"
9,Senior Software Developer - NLP/ Machine Learning/ Data Science,Cunesoft India Private Limited (a Phlexglobal Company),Bangalore/Bengaluru,5-8 Yrs,"IT Skills
Java
Python
Testing
Machine Learning
Cloud
Project Management
Data Science"
10,Data Science- Machine Learning Engineer,Jet2 Travel Technologies Pvt. Ltd.,Pune,3-5 Yrs,"IT Skills
Python
Software Development
Data Science
Machine Learning
Cloud
Big Data
snowflake"
11,Data Science Trainer | AI | Machine Learning | Python |,Careerera,Noida(Sector-59 Noida),2-7 Yrs,"communication
Python
Algorithms
Machine Learning
IT Skills
Data Science
data science faculty
Corporate Trainer"
12,Senior Software Developer - NLP/Machine Learning/Data Science,Cunesoft India Private Limited (a Phlexglobal Company),Bangalore/Bengaluru,5-8 Yrs,"Machine Learning
Data Science
NLP
IT Skills
Java
Python
Testing
Cloud"
13,Data Science Engineer - Machine/Deep Learning Models - R/Python/Scala,CarbyneTech India,Hyderabad/Secunderabad,4-8 Yrs,"Deep Learning Models
Machine Learning
Data Science
Tensorflow
Artificial Intelligence
Scala
Hadoop
Big Data"
14,Machine Learning Data Science Practitioner,Accenture,Bangalore/Bengaluru,12-15 Yrs,"IT Skills
Python
Software Development
Data Science
Machine Learning
Cloud
Big Data
Consulting"
15,Manager- Data Science-Machine learning (9+ years) Female candidates,CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,"Gurgaon/Gurugram
(WFH during Covid)",,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,Staff Engineer (Data science Microsoft Bot Framework),Nagarro,Remote,6-9 Yrs,"python
data science
Microsoft Bot Framework
nlp
data analytics
data sci
time series
machine learning"
22,Data Science - Machine Learning Engineer,BCG Attorney Search,"Ahmedabad(Bodakdev)
(WFH during Covid)",5-8 Yrs,"algorithms
Business Intelligence
Visualization
Statistician
predictive analytics
Big Data
Data Mining
machine learning"
23,Machine Learning Data Science Practitioner,Accenture,Noida,4-6 Yrs,"Python
GCP
analytical
Azure
verbal
ETL
written
KNIME"
24,Machine Learning Data Science Practitioner,Accenture,Bangalore/Bengaluru,4-6 Yrs,"Deep Learning
Machine Learning
ETL
analytical
Data Science
written
Big Data Processing
analytics"
25,Machine Learning Data Science Practitioner,Accenture,Mumbai,4-6 Yrs,"IT Skills
Python
Data Science
Machine Learning
Big Data
AWS
Azure
Operations research"
26,Machine Learning Data Science Practitioner,Accenture,Pune,4-6 Yrs,"Python
GCP
analytical
Azure
verbal
ETL
written
KNIME"
27,Machine Learning Data Science Practitioner,Accenture,Hyderabad/Secunderabad,4-6 Yrs,"Operations research
data science
GCP
Analytical
Consulting
Machine learning
Data processing
Subject Matter Expert"
28,Machine Learning Data Science Practitioner,Accenture,Pune,6-8 Yrs,"Data Science
ETL
verbal
Big Data Processing
Python
Machine Learning
written
analytical"
29,Machine Learning Data Science Practitioner,Accenture,Mumbai,4-6 Yrs,"Data Science
ETL
verbal
Big Data Processing
Python
Machine Learning
written
analytical"
30,Senior Software Developer - NLP/ Machine Learning/ Data Science,Cunesoft India Private Limited (a Phlexglobal Company),Bangalore/Bengaluru,5-8 Yrs,"IT Skills
Java
Python
Testing
Machine Learning
Cloud
Project Management
Data Science"
